date,fear_greed_index,z_score_grade,category
2008-08-26,-23.809523809523807,5.2142857142857135,공포
2008-08-27,28.000000000000004,7.6000000000000005,탐욕
2008-08-28,-75.75757575757575,1.5151515151515156,극도의 공포
2008-08-29,-74.35897435897436,1.6025641025641022,극도의 공포
2008-08-30,-58.620689655172406,2.6034482758620694,공포
2008-08-31,-9.523809523809524,5.892857142857143,중립
2008-09-01,-44.0,3.7,공포
2008-09-02,-34.375,4.421875,공포
2008-09-03,-17.24137931034483,5.6034482758620685,중립
2008-09-04,-6.666666666666667,6.0,중립
2008-09-05,-78.26086956521739,1.358695652173913,극도의 공포
2008-09-06,-88.23529411764706,0.7352941176470589,극도의 공포
2008-09-07,-67.56756756756756,2.027027027027027,극도의 공포
2008-09-08,-31.25,4.65625,공포
2008-09-09,-50.0,3.25,공포
2008-09-10,-36.0,4.3,공포
2008-09-11,-82.85714285714286,1.0714285714285712,극도의 공포
2008-09-12,-38.46153846153847,4.115384615384615,공포
2008-09-13,-52.94117647058824,3.0294117647058822,공포
